;Sample1;;Sample2;;Sample3;;Sample4;;Sample5;;Sample6;;Sample7;;Sample8;;Sample9;;Sample10;;Sample11;;Sample12;;Sample13;;Sample14;;Sample15;;Sample16;;Sample17;;Sample18;;Sample19;;Sample20;;Sample21;;Sample22;;Sample23;;Sample24;;Sample25;;Sample26;;Sample27;;Sample28;;Sample29;;Sample30;;Sample31;;Sample32;;Sample33;;Sample34;;Sample35;;Sample36;;Sample37;;Sample38;;Sample39;;Sample40;;Sample41;;Sample42;;Sample43;;Sample44;;Sample45;;Sample46;;Sample47;;Sample48;;Sample49;;Sample50;;Sample51;;Sample52;;Sample53;;Sample54;;Sample55;;Sample56;;Sample57;;Sample58;;Sample59;;Sample60;;Sample61;;Sample62;;Sample63;;Sample64;;Sample65;;Sample66;;Sample67;;Sample68;;Sample69;;Sample70;;Sample71;;Sample72;;Sample73;;Sample74;;Sample75;;Sample76;;Sample77;;Sample78;;Sample79;;Sample80;;Sample81;;Sample82;;Sample83;;Sample84;;Sample85;;Sample86;;Sample87;;Sample88;;Sample89;;Sample90;;Sample91;;Sample92;;Sample93
10;3840;10;3729;10;4045;10;3300;10;4032;10;4246;10;3967;10;4300;10;3908;10;4166;10;3539;10;3566;10;3872;10;4129;10;3690;10;3654;10;3798;10;3539;10;3705;10;3715;10;3654;10;3757;10;3613;10;3647;10;3450;10;3465;10;3914;10;3668;10;3641;10;3774;10;3559;10;3395;10;3393;10;3622;10;3653;10;2960;10;3050;10;3029;10;3069;10;3445;10;2997;10;3660;10;3596;10;3524;10;3780;10;3593;10;3559;10;3486;10;3420;10;3748;10;3648;10;3706;10;3516;10;3498;10;3682;10;3616;10;3160;10;3710;10;3595;10;3669;10;3005;10;3663;10;3861;10;3461;10;3715;10;3813;10;3700;10;3537;10;3585;10;3451;10;3531;10;3463;10;3346;10;3597;10;3495;10;3586;10;3392;10;3225;10;3267;10;3454;10;3330;10;3364;10;3407;10;3244;10;3195;10;3354;10;3158;10;3319;10;3399;10;3289;10;3404;10;3296;10;3383
10.015;3791;10.015;3650;10.015;4004;10.015;3372;10.015;4113;10.015;4070;10.015;3917;10.015;4246;10.015;3879;10.015;4294;10.015;3502;10.015;3518;10.015;3978;10.015;4019;10.015;3663;10.015;3650;10.015;3850;10.015;3434;10.015;3694;10.015;3626;10.015;3549;10.015;3750;10.015;3650;10.015;3641;10.015;3464;10.015;3433;10.015;3926;10.015;3611;10.015;3756;10.015;3766;10.015;3574;10.015;3415;10.015;3324;10.015;3640;10.015;3737;10.015;2958;10.015;3095;10.015;2967;10.015;3151;10.015;3489;10.015;2933;10.015;3562;10.015;3614;10.015;3445;10.015;3807;10.015;3509;10.015;3558;10.015;3489;10.015;3443;10.015;3647;10.015;3612;10.015;3671;10.015;3569;10.015;3541;10.015;3739;10.015;3606;10.015;3251;10.015;3617;10.015;3587;10.015;3770;10.015;2955;10.015;3671;10.015;3785;10.015;3496;10.015;3673;10.015;3822;10.015;3656;10.015;3593;10.015;3626;10.015;3355;10.015;3522;10.015;3419;10.015;3282;10.015;3381;10.015;3472;10.015;3521;10.015;3353;10.015;3178;10.015;3205;10.015;3373;10.015;3412;10.015;3417;10.015;3332;10.015;3157;10.015;3170;10.015;3334;10.015;3106;10.015;3425;10.015;3418;10.015;3322;10.015;3374;10.015;3290;10.015;3351
10.03;3737;10.03;3617;10.03;4062;10.03;3356;10.03;4044;10.03;4079;10.03;3927;10.03;4289;10.03;3928;10.03;4182;10.03;3537;10.03;3570;10.03;3952;10.03;4003;10.03;3659;10.03;3668;10.03;3799;10.03;3382;10.03;3713;10.03;3693;10.03;3504;10.03;3793;10.03;3696;10.03;3541;10.03;3456;10.03;3565;10.03;3866;10.03;3598;10.03;3683;10.03;3681;10.03;3612;10.03;3473;10.03;3420;10.03;3537;10.03;3671;10.03;2979;10.03;3147;10.03;2980;10.03;3132;10.03;3420;10.03;2989;10.03;3456;10.03;3489;10.03;3470;10.03;3791;10.03;3478;10.03;3514;10.03;3529;10.03;3478;10.03;3571;10.03;3598;10.03;3674;10.03;3538;10.03;3593;10.03;3716;10.03;3571;10.03;3244;10.03;3729;10.03;3560;10.03;3716;10.03;2977;10.03;3715;10.03;3733;10.03;3447;10.03;3662;10.03;3735;10.03;3581;10.03;3599;10.03;3598;10.03;3466;10.03;3516;10.03;3412;10.03;3359;10.03;3488;10.03;3479;10.03;3529;10.03;3310;10.03;3113;10.03;3198;10.03;3370;10.03;3410;10.03;3357;10.03;3311;10.03;3138;10.03;3137;10.03;3401;10.03;3117;10.03;3497;10.03;3319;10.03;3209;10.03;3338;10.03;3230;10.03;3355
10.045;3700;10.045;3572;10.045;4007;10.045;3342;10.045;3949;10.045;4083;10.045;3837;10.045;4208;10.045;3842;10.045;4118;10.045;3478;10.045;3538;10.045;3889;10.045;3994;10.045;3637;10.045;3606;10.045;3764;10.045;3433;10.045;3687;10.045;3723;10.045;3544;10.045;3756;10.045;3662;10.045;3522;10.045;3443;10.045;3575;10.045;3780;10.045;3548;10.045;3750;10.045;3713;10.045;3569;10.045;3355;10.045;3487;10.045;3575;10.045;3668;10.045;2973;10.045;3253;10.045;2989;10.045;3054;10.045;3444;10.045;3012;10.045;3411;10.045;3503;10.045;3476;10.045;3663;10.045;3560;10.045;3506;10.045;3536;10.045;3495;10.045;3572;10.045;3611;10.045;3784;10.045;3554;10.045;3537;10.045;3688;10.045;3577;10.045;3216;10.045;3656;10.045;3586;10.045;3694;10.045;2973;10.045;3609;10.045;3666;10.045;3421;10.045;3663;10.045;3808;10.045;3594;10.045;3503;10.045;3604;10.045;3434;10.045;3534;10.045;3419;10.045;3299;10.045;3553;10.045;3448;10.045;3517;10.045;3326;10.045;3139;10.045;3214;10.045;3407;10.045;3235;10.045;3357;10.045;3330;10.045;3195;10.045;3161;10.045;3345;10.045;3091;10.045;3344;10.045;3330;10.045;3141;10.045;3369;10.045;3233;10.045;3291
10.06;3628;10.06;3469;10.06;3993;10.06;3286;10.06;3957;10.06;4089;10.06;3768;10.06;4172;10.06;3979;10.06;4120;10.06;3431;10.06;3495;10.06;3914;10.06;4042;10.06;3655;10.06;3658;10.06;3771;10.06;3406;10.06;3689;10.06;3671;10.06;3511;10.06;3788;10.06;3577;10.06;3609;10.06;3519;10.06;3557;10.06;3790;10.06;3531;10.06;3746;10.06;3691;10.06;3497;10.06;3337;10.06;3445;10.06;3606;10.06;3610;10.06;2947;10.06;3161;10.06;2883;10.06;3074;10.06;3421;10.06;3024;10.06;3445;10.06;3415;10.06;3478;10.06;3672;10.06;3534;10.06;3372;10.06;3466;10.06;3391;10.06;3558;10.06;3540;10.06;3727;10.06;3597;10.06;3535;10.06;3634;10.06;3434;10.06;3211;10.06;3567;10.06;3539;10.06;3639;10.06;2888;10.06;3635;10.06;3737;10.06;3391;10.06;3605;10.06;3822;10.06;3634;10.06;3474;10.06;3598;10.06;3384;10.06;3471;10.06;3349;10.06;3217;10.06;3509;10.06;3471;10.06;3491;10.06;3405;10.06;3245;10.06;3188;10.06;3318;10.06;3314;10.06;3315;10.06;3287;10.06;3194;10.06;3095;10.06;3334;10.06;3017;10.06;3305;10.06;3351;10.06;3212;10.06;3312;10.06;3223;10.06;3266
10.075;3687;10.075;3568;10.075;4032;10.075;3298;10.075;3824;10.075;3975;10.075;3754;10.075;4148;10.075;3892;10.075;4098;10.075;3537;10.075;3551;10.075;3920;10.075;3973;10.075;3681;10.075;3618;10.075;3721;10.075;3408;10.075;3704;10.075;3713;10.075;3441;10.075;3658;10.075;3628;10.075;3593;10.075;3460;10.075;3480;10.075;3842;10.075;3545;10.075;3599;10.075;3641;10.075;3505;10.075;3318;10.075;3351;10.075;3570;10.075;3644;10.075;2963;10.075;3157;10.075;2861;10.075;3015;10.075;3421;10.075;2966;10.075;3432;10.075;3456;10.075;3443;10.075;3710;10.075;3510;10.075;3438;10.075;3467;10.075;3382;10.075;3630;10.075;3554;10.075;3637;10.075;3496;10.075;3505;10.075;3687;10.075;3471;10.075;3215;10.075;3661;10.075;3503;10.075;3708;10.075;2824;10.075;3593;10.075;3644;10.075;3400;10.075;3570;10.075;3816;10.075;3517;10.075;3428;10.075;3556;10.075;3442;10.075;3510;10.075;3312;10.075;3242;10.075;3457;10.075;3455;10.075;3509;10.075;3388;10.075;3183;10.075;3182;10.075;3274;10.075;3351;10.075;3323;10.075;3225;10.075;3247;10.075;3109;10.075;3334;10.075;3014;10.075;3358;10.075;3284;10.075;3222;10.075;3257;10.075;3231;10.075;3207
10.09;3722;10.09;3627;10.09;3886;10.09;3356;10.09;3904;10.09;3996;10.09;3753;10.09;4189;10.09;3847;10.09;4091;10.09;3438;10.09;3472;10.09;3842;10.09;3879;10.09;3678;10.09;3537;10.09;3753;10.09;3389;10.09;3692;10.09;3697;10.09;3524;10.09;3583;10.09;3536;10.09;3562;10.09;3391;10.09;3462;10.09;3846;10.09;3504;10.09;3640;10.09;3682;10.09;3471;10.09;3348;10.09;3342;10.09;3644;10.09;3674;10.09;2915;10.09;3110;10.09;2873;10.09;3035;10.09;3373;10.09;3006;10.09;3508;10.09;3419;10.09;3504;10.09;3644;10.09;3549;10.09;3429;10.09;3365;10.09;3302;10.09;3626;10.09;3514;10.09;3630;10.09;3471;10.09;3574;10.09;3659;10.09;3542;10.09;3192;10.09;3645;10.09;3438;10.09;3763;10.09;2885;10.09;3573;10.09;3636;10.09;3436;10.09;3583;10.09;3725;10.09;3471;10.09;3458;10.09;3569;10.09;3475;10.09;3522;10.09;3352;10.09;3265;10.09;3447;10.09;3399;10.09;3476;10.09;3196;10.09;3150;10.09;3135;10.09;3311;10.09;3198;10.09;3260;10.09;3245;10.09;3182;10.09;3099;10.09;3320;10.09;3061;10.09;3384;10.09;3246;10.09;3258;10.09;3254;10.09;3160;10.09;3245
10.105;3665;10.105;3533;10.105;3909;10.105;3240;10.105;3923;10.105;3999;10.105;3704;10.105;4138;10.105;3824;10.105;4131;10.105;3371;10.105;3479;10.105;3998;10.105;3995;10.105;3558;10.105;3577;10.105;3693;10.105;3357;10.105;3653;10.105;3604;10.105;3522;10.105;3625;10.105;3500;10.105;3488;10.105;3397;10.105;3493;10.105;3858;10.105;3506;10.105;3597;10.105;3697;10.105;3535;10.105;3360;10.105;3270;10.105;3647;10.105;3638;10.105;2890;10.105;3121;10.105;2889;10.105;3103;10.105;3351;10.105;2957;10.105;3474;10.105;3468;10.105;3438;10.105;3574;10.105;3540;10.105;3483;10.105;3318;10.105;3366;10.105;3541;10.105;3573;10.105;3655;10.105;3571;10.105;3510;10.105;3676;10.105;3510;10.105;3136;10.105;3596;10.105;3450;10.105;3746;10.105;2920;10.105;3641;10.105;3716;10.105;3405;10.105;3570;10.105;3714;10.105;3440;10.105;3425;10.105;3509;10.105;3401;10.105;3509;10.105;3386;10.105;3276;10.105;3435;10.105;3422;10.105;3442;10.105;3259;10.105;3188;10.105;3193;10.105;3371;10.105;3279;10.105;3265;10.105;3220;10.105;3105;10.105;3090;10.105;3242;10.105;3037;10.105;3411;10.105;3293;10.105;3242;10.105;3330;10.105;3183;10.105;3239
10.12;3708;10.12;3511;10.12;3965;10.12;3224;10.12;3874;10.12;4015;10.12;3695;10.12;4110;10.12;3811;10.12;4020;10.12;3343;10.12;3464;10.12;3968;10.12;3981;10.12;3617;10.12;3628;10.12;3652;10.12;3421;10.12;3683;10.12;3606;10.12;3435;10.12;3655;10.12;3579;10.12;3486;10.12;3328;10.12;3491;10.12;3812;10.12;3574;10.12;3607;10.12;3660;10.12;3488;10.12;3331;10.12;3261;10.12;3469;10.12;3652;10.12;2998;10.12;3092;10.12;2774;10.12;3033;10.12;3328;10.12;2907;10.12;3511;10.12;3426;10.12;3466;10.12;3595;10.12;3513;10.12;3428;10.12;3371;10.12;3421;10.12;3469;10.12;3521;10.12;3623;10.12;3487;10.12;3454;10.12;3751;10.12;3415;10.12;3174;10.12;3672;10.12;3424;10.12;3736;10.12;2855;10.12;3582;10.12;3738;10.12;3373;10.12;3586;10.12;3704;10.12;3491;10.12;3416;10.12;3543;10.12;3353;10.12;3373;10.12;3342;10.12;3222;10.12;3341;10.12;3367;10.12;3497;10.12;3307;10.12;3134;10.12;3176;10.12;3313;10.12;3203;10.12;3345;10.12;3212;10.12;3091;10.12;3079;10.12;3171;10.12;3019;10.12;3324;10.12;3277;10.12;3195;10.12;3299;10.12;3175;10.12;3252
10.135;3666;10.135;3505;10.135;3902;10.135;3222;10.135;3889;10.135;4015;10.135;3748;10.135;4151;10.135;3795;10.135;4035;10.135;3318;10.135;3326;10.135;3942;10.135;3927;10.135;3574;10.135;3499;10.135;3712;10.135;3345;10.135;3637;10.135;3660;10.135;3533;10.135;3578;10.135;3595;10.135;3520;10.135;3318;10.135;3478;10.135;3749;10.135;3469;10.135;3612;10.135;3635;10.135;3462;10.135;3337;10.135;3325;10.135;3468;10.135;3589;10.135;2898;10.135;3093;10.135;2885;10.135;3007;10.135;3356;10.135;2875;10.135;3521;10.135;3415;10.135;3456;10.135;3581;10.135;3443;10.135;3365;10.135;3463;10.135;3409;10.135;3537;10.135;3553;10.135;3586;10.135;3485;10.135;3539;10.135;3679;10.135;3417;10.135;3150;10.135;3656;10.135;3388;10.135;3705;10.135;2890;10.135;3530;10.135;3703;10.135;3384;10.135;3610;10.135;3736;10.135;3549;10.135;3481;10.135;3537;10.135;3365;10.135;3386;10.135;3256;10.135;3261;10.135;3334;10.135;3402;10.135;3453;10.135;3208;10.135;3175;10.135;3102;10.135;3301;10.135;3193;10.135;3290;10.135;3124;10.135;3090;10.135;3028;10.135;3206;10.135;3046;10.135;3351;10.135;3262;10.135;3147;10.135;3301;10.135;3130;10.135;3279
